GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(PlayerName-1),FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(PlayerName-1),PlayerType(PlayerType-1),PlayerType(PlayerType-0),Winner(PlayerIdx)
346665430,CantStop,0,GAME_OVER,124,32,2,2,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,2.0,3.0,BasicMCTS,BasicMCTS,BasicMCTS,0
879079583,CantStop,0,GAME_OVER,152,43,2,3,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,3.0,1.0,BasicMCTS,BasicMCTS,BasicMCTS,1
-619666105,CantStop,0,GAME_OVER,84,22,2,4,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,0.0,3.0,BasicMCTS,BasicMCTS,BasicMCTS,0
503938916,CantStop,0,GAME_OVER,92,24,2,5,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,1.0,3.0,BasicMCTS,BasicMCTS,BasicMCTS,0
-428737539,CantStop,0,GAME_OVER,89,23,2,6,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,3.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,1
-1745970416,CantStop,0,GAME_OVER,99,31,2,7,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,3.0,1.0,BasicMCTS,BasicMCTS,BasicMCTS,1
-1436161366,CantStop,0,GAME_OVER,88,22,2,8,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,1.0,3.0,BasicMCTS,BasicMCTS,BasicMCTS,0
-1151041315,CantStop,0,GAME_OVER,101,33,2,9,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,3.0,1.0,BasicMCTS,BasicMCTS,BasicMCTS,1
697067980,CantStop,0,GAME_OVER,139,38,2,10,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,0.0,3.0,BasicMCTS,BasicMCTS,BasicMCTS,0
1168140970,CantStop,0,GAME_OVER,137,22,2,11,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,0.0,3.0,BasicMCTS,BasicMCTS,BasicMCTS,0
-1491060889,CantStop,0,GAME_OVER,129,33,2,12,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,3.0,1.0,BasicMCTS,BasicMCTS,BasicMCTS,1
-1819802610,CantStop,0,GAME_OVER,123,23,2,13,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,3.0,2.0,BasicMCTS,BasicMCTS,BasicMCTS,1
-2121274456,CantStop,0,GAME_OVER,116,27,2,14,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,3.0,2.0,BasicMCTS,BasicMCTS,BasicMCTS,1
259280696,CantStop,0,GAME_OVER,148,33,2,15,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,4.0,1.0,BasicMCTS,BasicMCTS,BasicMCTS,1
1706137030,CantStop,0,GAME_OVER,61,16,2,16,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,0.0,3.0,BasicMCTS,BasicMCTS,BasicMCTS,0
545138396,CantStop,0,GAME_OVER,102,33,2,17,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,3.0,1.0,BasicMCTS,BasicMCTS,BasicMCTS,1
1376458976,CantStop,0,GAME_OVER,172,35,2,18,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,3.0,2.0,BasicMCTS,BasicMCTS,BasicMCTS,1
1195311045,CantStop,0,GAME_OVER,166,43,2,19,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,3.0,1.0,BasicMCTS,BasicMCTS,BasicMCTS,1
813477029,CantStop,0,GAME_OVER,96,24,2,20,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,2.0,3.0,BasicMCTS,BasicMCTS,BasicMCTS,0
-1466178614,CantStop,0,GAME_OVER,111,28,2,21,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,0.0,3.0,BasicMCTS,BasicMCTS,BasicMCTS,0
-118322159,CantStop,0,GAME_OVER,127,39,2,22,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,3.0,1.0,BasicMCTS,BasicMCTS,BasicMCTS,1
-1428166355,CantStop,0,GAME_OVER,118,27,2,23,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,3.0,1.0,BasicMCTS,BasicMCTS,BasicMCTS,1
1144294523,CantStop,0,GAME_OVER,131,41,2,24,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,3.0,2.0,BasicMCTS,BasicMCTS,BasicMCTS,1
2100098225,CantStop,0,GAME_OVER,124,31,2,25,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,3.0,2.0,BasicMCTS,BasicMCTS,BasicMCTS,1
23994827,CantStop,0,GAME_OVER,104,28,2,26,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,1.0,3.0,BasicMCTS,BasicMCTS,BasicMCTS,0
1662792176,CantStop,0,GAME_OVER,137,32,2,27,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,2.0,3.0,BasicMCTS,BasicMCTS,BasicMCTS,0
2013120665,CantStop,0,GAME_OVER,116,33,2,28,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,3.0,2.0,BasicMCTS,BasicMCTS,BasicMCTS,1
-1880183632,CantStop,0,GAME_OVER,125,38,2,29,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,2.0,3.0,BasicMCTS,BasicMCTS,BasicMCTS,0
-1377239692,CantStop,0,GAME_OVER,111,27,2,30,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,3.0,2.0,BasicMCTS,BasicMCTS,BasicMCTS,1
1795532617,CantStop,0,GAME_OVER,90,26,2,31,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,0.0,3.0,BasicMCTS,BasicMCTS,BasicMCTS,0
-1548656463,CantStop,0,GAME_OVER,127,31,2,32,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,3.0,1.0,BasicMCTS,BasicMCTS,BasicMCTS,1
-653656736,CantStop,0,GAME_OVER,49,14,2,33,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,0.0,3.0,BasicMCTS,BasicMCTS,BasicMCTS,0
-400394132,CantStop,0,GAME_OVER,101,26,2,34,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,0.0,3.0,BasicMCTS,BasicMCTS,BasicMCTS,0
-1422203009,CantStop,0,GAME_OVER,69,22,2,35,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,0.0,3.0,BasicMCTS,BasicMCTS,BasicMCTS,0
-1113178468,CantStop,0,GAME_OVER,70,15,2,36,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,3.0,1.0,BasicMCTS,BasicMCTS,BasicMCTS,1
-175367348,CantStop,0,GAME_OVER,128,25,2,37,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,3.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,1
1362911089,CantStop,0,GAME_OVER,83,29,2,38,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,3.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,1
-347120262,CantStop,0,GAME_OVER,64,14,2,39,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,1.0,3.0,BasicMCTS,BasicMCTS,BasicMCTS,0
1416514647,CantStop,0,GAME_OVER,103,23,2,40,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,3.0,2.0,BasicMCTS,BasicMCTS,BasicMCTS,1
-1570736736,CantStop,0,GAME_OVER,152,39,2,41,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,3.0,2.0,BasicMCTS,BasicMCTS,BasicMCTS,1
-1532681659,CantStop,0,GAME_OVER,157,38,2,42,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,2.0,3.0,BasicMCTS,BasicMCTS,BasicMCTS,0
2038358424,CantStop,0,GAME_OVER,133,39,2,43,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,3.0,2.0,BasicMCTS,BasicMCTS,BasicMCTS,1
1950377550,CantStop,0,GAME_OVER,133,36,2,44,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,2.0,3.0,BasicMCTS,BasicMCTS,BasicMCTS,0
-389679841,CantStop,0,GAME_OVER,156,43,2,45,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,3.0,2.0,BasicMCTS,BasicMCTS,BasicMCTS,1
-1652369011,CantStop,0,GAME_OVER,67,16,2,46,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,0.0,3.0,BasicMCTS,BasicMCTS,BasicMCTS,0
649728961,CantStop,0,GAME_OVER,142,44,2,47,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,1.0,3.0,BasicMCTS,BasicMCTS,BasicMCTS,0
1939385821,CantStop,0,GAME_OVER,123,31,2,48,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,3.0,1.0,BasicMCTS,BasicMCTS,BasicMCTS,1
-765151654,CantStop,0,GAME_OVER,146,33,2,49,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,3.0,2.0,BasicMCTS,BasicMCTS,BasicMCTS,1
-382843140,CantStop,0,GAME_OVER,146,41,2,50,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,3.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,1
1616233144,CantStop,0,GAME_OVER,72,25,2,51,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,3.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,1
346665430,CantStop,0,GAME_OVER,105,33,2,52,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,3.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,1
879079583,CantStop,0,GAME_OVER,169,37,2,53,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,3.0,2.0,BasicMCTS,BasicMCTS,BasicMCTS,1
-619666105,CantStop,0,GAME_OVER,65,16,2,54,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,1.0,3.0,BasicMCTS,BasicMCTS,BasicMCTS,0
503938916,CantStop,0,GAME_OVER,125,28,2,55,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,2.0,3.0,BasicMCTS,BasicMCTS,BasicMCTS,0
-428737539,CantStop,0,GAME_OVER,105,36,2,56,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,1.0,3.0,BasicMCTS,BasicMCTS,BasicMCTS,0
-1745970416,CantStop,0,GAME_OVER,112,34,2,57,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,1.0,3.0,BasicMCTS,BasicMCTS,BasicMCTS,0
-1436161366,CantStop,0,GAME_OVER,121,27,2,58,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,4.0,1.0,BasicMCTS,BasicMCTS,BasicMCTS,1
-1151041315,CantStop,0,GAME_OVER,144,34,2,59,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,2.0,3.0,BasicMCTS,BasicMCTS,BasicMCTS,0
697067980,CantStop,0,GAME_OVER,86,26,2,60,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,2.0,3.0,BasicMCTS,BasicMCTS,BasicMCTS,0
1168140970,CantStop,0,GAME_OVER,153,38,2,61,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,1.0,3.0,BasicMCTS,BasicMCTS,BasicMCTS,0
-1491060889,CantStop,0,GAME_OVER,137,37,2,62,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,3.0,1.0,BasicMCTS,BasicMCTS,BasicMCTS,1
-1819802610,CantStop,0,GAME_OVER,75,28,2,63,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,0.0,3.0,BasicMCTS,BasicMCTS,BasicMCTS,0
-2121274456,CantStop,0,GAME_OVER,146,41,2,64,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,3.0,2.0,BasicMCTS,BasicMCTS,BasicMCTS,1
259280696,CantStop,0,GAME_OVER,82,23,2,65,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,3.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,1
1706137030,CantStop,0,GAME_OVER,95,25,2,66,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,3.0,1.0,BasicMCTS,BasicMCTS,BasicMCTS,1
545138396,CantStop,0,GAME_OVER,126,38,2,67,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,0.0,3.0,BasicMCTS,BasicMCTS,BasicMCTS,0
1376458976,CantStop,0,GAME_OVER,131,36,2,68,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,2.0,3.0,BasicMCTS,BasicMCTS,BasicMCTS,0
1195311045,CantStop,0,GAME_OVER,109,25,2,69,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,3.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,1
813477029,CantStop,0,GAME_OVER,130,31,2,70,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,3.0,2.0,BasicMCTS,BasicMCTS,BasicMCTS,1
-1466178614,CantStop,0,GAME_OVER,137,36,2,71,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,1.0,3.0,BasicMCTS,BasicMCTS,BasicMCTS,0
-118322159,CantStop,0,GAME_OVER,73,23,2,72,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,3.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,1
-1428166355,CantStop,0,GAME_OVER,105,36,2,73,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,0.0,3.0,BasicMCTS,BasicMCTS,BasicMCTS,0
1144294523,CantStop,0,GAME_OVER,107,28,2,74,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,0.0,3.0,BasicMCTS,BasicMCTS,BasicMCTS,0
2100098225,CantStop,0,GAME_OVER,120,28,2,75,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,1.0,3.0,BasicMCTS,BasicMCTS,BasicMCTS,0
23994827,CantStop,0,GAME_OVER,88,21,2,76,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,3.0,1.0,BasicMCTS,BasicMCTS,BasicMCTS,1
1662792176,CantStop,0,GAME_OVER,121,33,2,77,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,3.0,1.0,BasicMCTS,BasicMCTS,BasicMCTS,1
2013120665,CantStop,0,GAME_OVER,75,18,2,78,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,0.0,3.0,BasicMCTS,BasicMCTS,BasicMCTS,0
-1880183632,CantStop,0,GAME_OVER,97,25,2,79,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,3.0,2.0,BasicMCTS,BasicMCTS,BasicMCTS,1
-1377239692,CantStop,0,GAME_OVER,137,42,2,80,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,2.0,3.0,BasicMCTS,BasicMCTS,BasicMCTS,0
1795532617,CantStop,0,GAME_OVER,124,34,2,81,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,1.0,3.0,BasicMCTS,BasicMCTS,BasicMCTS,0
-1548656463,CantStop,0,GAME_OVER,114,22,2,82,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,1.0,3.0,BasicMCTS,BasicMCTS,BasicMCTS,0
-653656736,CantStop,0,GAME_OVER,92,24,2,83,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,1.0,3.0,BasicMCTS,BasicMCTS,BasicMCTS,0
-400394132,CantStop,0,GAME_OVER,150,28,2,84,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,2.0,3.0,BasicMCTS,BasicMCTS,BasicMCTS,0
-1422203009,CantStop,0,GAME_OVER,132,30,2,85,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,2.0,3.0,BasicMCTS,BasicMCTS,BasicMCTS,0
-1113178468,CantStop,0,GAME_OVER,79,24,2,86,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,0.0,3.0,BasicMCTS,BasicMCTS,BasicMCTS,0
-175367348,CantStop,0,GAME_OVER,143,41,2,87,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,3.0,2.0,BasicMCTS,BasicMCTS,BasicMCTS,1
1362911089,CantStop,0,GAME_OVER,139,29,2,88,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,3.0,2.0,BasicMCTS,BasicMCTS,BasicMCTS,1
-347120262,CantStop,0,GAME_OVER,87,30,2,89,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,0.0,3.0,BasicMCTS,BasicMCTS,BasicMCTS,0
1416514647,CantStop,0,GAME_OVER,98,18,2,90,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,1.0,3.0,BasicMCTS,BasicMCTS,BasicMCTS,0
-1570736736,CantStop,0,GAME_OVER,108,22,2,91,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,1.0,3.0,BasicMCTS,BasicMCTS,BasicMCTS,0
-1532681659,CantStop,0,GAME_OVER,143,36,2,92,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,2.0,3.0,BasicMCTS,BasicMCTS,BasicMCTS,0
2038358424,CantStop,0,GAME_OVER,87,20,2,93,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,0.0,3.0,BasicMCTS,BasicMCTS,BasicMCTS,0
1950377550,CantStop,0,GAME_OVER,73,14,2,94,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,1.0,3.0,BasicMCTS,BasicMCTS,BasicMCTS,0
-389679841,CantStop,0,GAME_OVER,110,30,2,95,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,1.0,3.0,BasicMCTS,BasicMCTS,BasicMCTS,0
-1652369011,CantStop,0,GAME_OVER,165,44,2,96,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,2.0,3.0,BasicMCTS,BasicMCTS,BasicMCTS,0
649728961,CantStop,0,GAME_OVER,88,19,2,97,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,3.0,1.0,BasicMCTS,BasicMCTS,BasicMCTS,1
1939385821,CantStop,0,GAME_OVER,135,42,2,98,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,1.0,3.0,BasicMCTS,BasicMCTS,BasicMCTS,0
-765151654,CantStop,0,GAME_OVER,167,51,2,99,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,3.0,1.0,BasicMCTS,BasicMCTS,BasicMCTS,1
-382843140,CantStop,0,GAME_OVER,101,23,2,100,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,3.0,2.0,BasicMCTS,BasicMCTS,BasicMCTS,1
1616233144,CantStop,0,GAME_OVER,131,34,2,101,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,2.0,3.0,BasicMCTS,BasicMCTS,BasicMCTS,0
